t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm
60113,1031,-70,-290,-2800,13020,23590,110.0
60173,1016,20,-280,-11830,15190,20860,110.0
60188,999,26,-286,-17220,16310,16170,110.0
60203,1005,111,-240,-30380,16520,14980,110.0
60218,996,126,-196,-47530,14490,14210,111.0
60233,982,185,-105,-56070,12530,14700,111.0
60243,994,124,-19,-62300,10220,15190,109.0
60258,994,112,51,-65240,5320,15400,108.0
60273,961,92,85,-60900,3850,14980,108.0
60287,941,233,3,-44520,2450,15750,107.0
60302,990,136,47,-33180,3570,18060,108.0
60317,983,166,8,-6370,5180,18760,108.0
60332,1002,132,43,7350,7280,19530,108.0
60342,1028,93,35,26740,7560,20160,103.0
60357,995,160,-123,30590,8120,20860,108.0
60372,1014,126,-129,25130,7840,21980,108.0
60394,1005,111,-179,9380,7000,22610,107.0
60409,1012,96,-148,1050,5880,22960,107.0
60424,1008,112,-113,-8820,5810,23240,105.0
60439,999,119,-91,-7700,6440,24080,103.0
60454,989,122,-20,-4690,6580,24640,103.0
60464,993,106,-11,-1260,6230,25060,105.0
60479,998,81,-6,5880,5320,25620,108.0
60494,1005,77,-29,8960,4900,26320,103.0
60509,998,116,-64,13510,4550,27020,103.0
60519,993,123,-57,14700,4550,28000,104.0
60534,986,136,-55,14140,3780,30240,102.0
60553,989,116,-59,13300,2940,32690,103.0
60568,994,54,-102,12600,2660,33810,103.0
60578,1340,-511,-138,13580,2380,34930,100.0
60593,1123,-47,-291,4480,3710,33320,103.0
60608,1123,-45,-361,9940,5250,31430,103.0
60618,1068,-97,-164,6860,8680,29610,103.0
60633,1046,-101,-332,3990,12670,21910,102.0
60648,1058,147,-521,2730,16590,20020,102.0
60658,989,-272,-220,-2450,25060,17570,103.0
60673,1006,-134,-410,5250,28280,14840,103.0
60688,1016,-120,-250,7910,35770,11130,103.0
60698,1006,-76,-218,6930,38500,9870,103.0
60713,1198,-135,321,3990,41930,9310,105.0
60728,1062,229,-129,12390,36750,10990,105.0
60738,1230,128,499,2380,38570,12040,105.0
60753,1223,160,9,3150,32480,16940,105.0
60768,1020,210,51,-10570,30730,19740,105.0
60778,927,36,106,-14070,30590,22610,105.0
60793,943,36,139,-16590,30310,24920,109.0
60810,1146,204,-149,-20860,31850,26250,110.0
60825,1156,204,-116,-25270,35630,30520,110.0
60835,1103,220,-1,-27510,37240,32620,110.0
60850,1059,211,107,-31430,38850,38010,108.0
60865,1050,294,148,-39550,39410,41440,108.0
60875,1065,288,112,-45850,39200,45010,111.0
60890,1038,165,187,-57330,38220,49420,114.0
60905,855,178,296,-62510,33600,51520,114.0
60915,1369,181,224,-64470,30800,54880,118.0
60930,1443,58,269,-67130,25690,58520,121.0
60945,1143,251,22,-60900,20930,63350,121.0
60955,1204,126,177,-51170,19180,64610,121.0
60970,1245,10,129,-23660,13580,64890,125.0
60985,1228,6,100,-4480,11550,64960,125.0
60995,1188,-30,26,39690,12250,64330,131.0
61010,1107,-77,36,61460,12530,62930,134.0
61025,1088,-62,66,91070,13160,57400,134.0
61035,1073,-85,147,97090,12600,53130,135.0
61050,1047,-50,139,97860,10640,48510,136.0
61071,1003,-45,220,90300,3430,27650,137.0
61086,938,-75,163,73150,-700,21000,139.0
61101,867,-132,181,53550,-6930,6300,139.0
61111,823,-139,131,43610,-9590,-1540,141.0
61126,786,-124,95,33880,-11760,-9030,141.0
61141,798,-137,50,16240,-14490,-22960,141.0
61151,792,-93,31,8330,-14980,-28980,139.0
61166,771,-107,10,1050,-15050,-40250,140.0
61181,741,-89,-25,-12180,-14000,-45500,140.0
61191,725,-91,-35,-18130,-12740,-50330,143.0
61206,708,-78,-51,-23450,-9170,-59080,138.0
61221,672,-64,-59,-32970,-7140,-62860,143.0
61236,674,-65,-60,-41090,-2590,-69580,143.0
61246,694,-54,-50,-44660,-490,-72520,141.0
61261,805,-58,4,-47950,1190,-75320,144.0
61276,882,-50,94,-52500,2310,-80430,144.0
61286,953,-23,106,-53480,1610,-82390,142.0
61301,1062,-13,124,-53830,630,-84490,140.0
61318,1102,15,107,-53410,-1330,-84840,137.0
61333,1096,21,120,-52850,-3290,-85050,137.0
61343,1100,22,142,-52850,-4620,-85190,142.0
61358,1126,28,143,-52500,-6370,-85260,134.0
61373,1179,53,154,-50960,-10010,-84350,134.0
61389,1218,60,168,-47670,-14350,-82250,133.0
61404,1250,44,163,-44800,-16660,-80850,131.0
61419,1256,22,187,-38150,-21700,-78960,132.0
61434,1264,10,161,-33390,-24220,-78050,132.0
61444,1250,1,178,-27650,-26530,-77210,133.0
61459,1231,-17,120,-12950,-30870,-75040,131.0
61474,1214,-14,111,-4270,-32480,-72520,131.0
61484,1204,2,108,5250,-35420,-70700,126.0
61499,1166,6,90,24640,-36890,-68950,131.0
61514,1147,-2,79,39760,-39480,-65590,131.0
61524,1120,34,52,44940,-40250,-63630,138.0
61539,1019,60,37,48860,-41020,-61390,136.0
61554,972,53,46,53550,-41860,-56910,140.0
61573,833,86,24,56000,-42840,-51730,140.0
61583,775,88,48,56910,-43260,-49210,146.0
61598,677,107,36,57960,-44030,-46410,144.0
61613,630,126,12,60200,-45010,-40250,150.0
61628,541,149,18,60620,-45080,-33180,150.0
61638,556,177,-53,59290,-43400,-29120,141.0
61653,549,155,-14,54670,-41300,-24990,143.0
61668,563,161,-85,48930,-37030,-18060,143.0
61678,575,157,-86,46410,-34160,-14700,144.0
61693,726,153,-100,45010,-31290,-11200,142.0
61708,831,164,-91,46480,-24290,-3290,142.0
61718,949,198,-60,49280,-20370,1400,140.0
61733,1111,202,-50,52360,-16940,10850,136.0
61748,1216,223,-5,57120,-10570,15190,136.0
61758,1248,229,3,58590,-8050,19390,136.0
