t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
30097,998,184,-84,4340,-1820,1750,122.0,0
30213,989,197,-89,2310,-1890,1960,122.0,0
30243,995,184,-85,2170,-1680,2450,121.0,0
30258,997,182,-72,2450,-1540,2730,121.0,0
30273,1010,139,-114,1890,-1470,2450,124.0,0
30288,991,177,-87,1470,-1330,2240,125.0,0
30303,991,176,-91,910,-1610,2310,125.0,0
30313,1005,178,-59,980,-1540,2660,121.0,0
30328,986,193,-92,1050,-1470,3010,128.0,0
30343,1001,177,-70,1750,-1400,3500,124.0,0
30358,990,198,-89,1890,-1330,3780,124.0,0
30368,993,198,-89,1680,-1330,4060,126.0,0
30383,1003,150,-97,0,-1470,4270,126.0,0
30398,1000,165,-79,-840,-1540,3780,126.0,0
30408,1002,162,-88,-1820,-1750,3640,127.0,0
30423,1000,91,-104,-2030,-1680,3360,125.0,0
30438,1011,186,-81,-140,-980,2800,125.0,0
30448,1006,166,-67,1260,-630,2520,122.0,0
30463,989,176,-79,2520,-280,2450,123.0,0
30478,1000,183,-68,4480,-70,2660,123.0,0
30488,1002,146,-90,5320,140,2590,124.0,0
30503,1016,116,-97,6020,350,1610,123.0,0
30518,1014,113,-89,7560,1260,840,123.0,0
30528,1003,148,-67,8190,1470,210,124.0,0
30543,983,213,-25,8330,700,770,124.0,0
30558,970,242,-108,7700,630,1750,124.0,0
30568,989,218,-59,7350,420,2590,127.0,0
30583,998,187,-63,4690,-420,3570,122.0,0
30598,995,186,-77,2590,-1120,3780,122.0,0
30608,1006,164,-85,420,-1610,3780,125.0,0
30627,995,178,-89,-3430,-2450,3570,120.0,0
30642,996,161,-67,-5810,-2940,3710,124.0,0
30657,1005,197,-92,-5600,-2730,3920,124.0,0
