t_ms,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps,dist_mm,event
30088,7,-497,-854,1610,-1260,2030,58.0,0
30199,8,-498,-854,1540,-1260,1960,58.0,0
30238,7,-496,-854,1610,-1330,2030,61.0,0
30253,7,-496,-854,1610,-1260,1960,61.0,0
30268,7,-497,-854,1610,-1260,2030,57.0,0
30283,8,-497,-854,1610,-1260,1960,58.0,0
30298,7,-497,-855,1610,-1260,1960,53.0,0
30313,8,-498,-855,1610,-1260,1960,53.0,0
30323,7,-497,-854,1610,-1260,1960,64.0,0
30338,7,-497,-854,1610,-1260,1960,46.0,0
30353,7,-498,-854,1610,-1260,2030,46.0,0
30363,7,-498,-855,1610,-1260,2030,60.0,0
30378,8,-496,-854,1610,-1260,2030,50.0,0
30393,7,-496,-855,1610,-1260,2030,50.0,0
30403,7,-497,-854,1610,-1260,1960,54.0,0
30418,7,-497,-855,1610,-1260,2030,41.0,0
30433,8,-497,-854,1610,-1260,1960,54.0,0
30448,8,-496,-854,1610,-1260,1960,54.0,0
30458,7,-497,-854,1610,-1260,2030,46.0,0
30473,7,-497,-854,1610,-1260,1960,52.0,0
30488,8,-496,-854,1610,-1260,2030,52.0,0
30498,7,-498,-855,1610,-1260,2030,50.0,0
30513,7,-497,-854,1610,-1260,1960,53.0,0
30528,7,-497,-854,1610,-1260,2030,53.0,0
30542,7,-496,-855,1610,-1260,2030,49.0,0
30557,8,-497,-855,1610,-1260,1960,54.0,0
30572,8,-497,-854,1610,-1260,2030,53.0,0
30587,7,-496,-854,1610,-1260,1960,57.0,0
30602,7,-497,-855,1610,-1260,1960,57.0,0
30612,7,-497,-854,1540,-1260,1960,48.0,0
30627,8,-497,-854,1610,-1260,1960,54.0,0
30642,8,-497,-854,1610,-1260,2030,54.0,0
30652,6,-497,-854,1610,-1260,1960,46.0,0
30667,7,-497,-854,1610,-1260,1960,54.0,0
30682,7,-496,-854,1610,-1260,1960,54.0,0
30692,7,-496,-854,1610,-1260,2030,46.0,0
30707,8,-497,-853,1610,-1260,1960,52.0,0
30722,8,-497,-855,1610,-1260,1960,47.0,0
30737,7,-496,-854,1610,-1260,1960,47.0,0
30747,8,-497,-855,1610,-1330,2030,61.0,0
30762,6,-496,-854,1610,-1330,1960,51.0,0
30777,8,-497,-853,1610,-1260,2030,51.0,0
30787,6,-496,-856,1610,-1260,2030,56.0,0
30809,8,-497,-854,1540,-1260,1960,47.0,0
30824,6,-497,-854,1540,-1260,2030,61.0,0
30839,8,-498,-855,1610,-1260,2030,48.0,0
30854,7,-497,-855,1610,-1260,2030,48.0,0
30864,7,-496,-854,1610,-1260,1960,57.0,0
30879,7,-496,-855,1610,-1260,1960,48.0,0
30894,8,-496,-855,1610,-1260,1960,48.0,0
30904,8,-498,-854,1610,-1260,1960,49.0,0
30919,7,-496,-854,1610,-1260,1960,51.0,0
30934,7,-497,-854,1610,-1260,2030,60.0,0
30949,7,-497,-855,1610,-1260,1960,60.0,0
30959,8,-496,-854,1610,-1260,1960,48.0,0
30974,7,-497,-854,1610,-1260,1960,66.0,0
30989,7,-497,-854,1610,-1260,1960,66.0,0
30999,7,-497,-854,1610,-1260,1960,53.0,0
31014,7,-497,-854,1610,-1190,2030,67.0,0
31029,8,-497,-854,1610,-1260,2030,67.0,0
31039,7,-496,-854,1540,-1260,1960,60.0,0
31057,7,-496,-854,1610,-1260,1960,56.0,0
31072,7,-497,-854,1610,-1190,1960,56.0,0
31087,7,-497,-855,1610,-1260,1890,56.0,0
31097,7,-497,-854,1610,-1260,1960,61.0,0
31112,7,-497,-855,1610,-1260,2030,60.0,0
31127,7,-497,-854,1610,-1260,2030,65.0,0
31142,7,-497,-853,1610,-1260,2030,65.0,0
31152,6,-497,-854,1610,-1260,2030,61.0,0
31167,5,-501,-854,1610,-1260,2030,69.0,0
31182,10,-494,-857,2100,-1330,1890,69.0,0
31192,7,-496,-845,1470,-1190,2030,58.0,0
31207,4,-494,-858,1400,-1190,2030,72.0,0
31234,7,-497,-862,1470,-1260,2100,64.0,0
31249,7,-500,-847,1820,-1330,1960,70.0,0
31264,5,-496,-856,1470,-1190,2030,66.0,0
31279,10,-497,-855,1610,-1190,2030,66.0,0
31289,7,-495,-852,1540,-1190,2030,71.0,0
31307,6,-496,-850,1610,-1260,1960,68.0,0
31322,7,-496,-855,1610,-1260,1960,71.0,0
31337,8,-496,-855,1610,-1190,2030,71.0,0
